Sim instant [s],Timestamp,X Position of 1st satellite,X Position of 2nd satellite,X Position of 3rd satellite,X Position of 4th satellite,Y Position of 1st satellite,Y Position of 2nd satellite,Y Position of 3rd satellite,Y Position of 4th satellite,Z Position of 1st satellite,Z Position of 2nd satellite,Z Position of 3rd satellite,Z Position of 4th satellite,Distance between the 1st satellite and the receiver,Distance between the 2nd satellite and the receiver,Distance between the 3rd satellite and the receiver,Distance between the 4th satellite and the receiver,Pseudorange 1st satellite,Pseudorange 2nd satellite,Pseudorange 3rd satellite,Pseudorange 4th satellite,X position of receiver,Y position of receiver,Z position of receiver,View 1st satellite,View 2nd satellite,View 3rd satellite,View 4th satellite,Eccentricity1,Eccentricity2,Eccentricity3,Eccentricity4,Satellite Antenna Cone Angle,Masking Angle,Axis
27,2022-01-06 10:10:00,-1999301.5047839792,-5902028.721159688,-6857230.661998644,-4506765.010366795,4582758.525693245,2394157.009306914,-308402.2592798122,-2240894.889865691,-33433.338965532035,1673993.743896639,2437091.247587744,4025038.848855851,6506348.248152445,7599605.342168048,8237307.273233963,7079056.604776458,6506348.248152445,7599605.342168048,8237307.273233963,7079056.604776458,1228048.9013440434,36729.01996633495,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
28,2022-01-06 10:15:00,-2258870.630225618,-6079059.798848947,-6990538.900628176,-4699624.418332118,4460450.136050803,2256320.549405593,-381084.7042741717,-2125027.879541204,43451.80903596609,1603624.748391777,2304032.282670021,3971930.8358028745,6493373.72903161,7705313.187825469,8385175.259888345,7145711.919296263,6493373.72903161,7705313.187825469,8385175.259888345,7145711.919296263,1228019.1817232298,37709.605139920255,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
29,2022-01-06 10:20:00,-2510466.2315644994,-6243704.095475007,-7112752.658007192,-4883213.717958697,4322396.928536521,2115501.181723052,-452427.96892188734,-2005979.0003905788,120183.57771506273,1530916.828415035,2169303.67225373,3912062.7051664633,6472849.477205078,7805506.652883008,8522617.643207526,7210406.0440153135,6472849.477205078,7805506.652883008,8522617.643207526,7210406.0440153135,1227988.6791147615,38690.166269780726,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
30,2022-01-06 10:25:00,-2753200.208541769,-6396377.342326761,-7224385.384216506,-5057594.950240451,4169086.213296829,1972175.0087971408,-522405.1727360056,-1884092.473487504,196491.1137529253,1456164.7352467964,2033223.1120511184,3845823.350437142,6445786.147089892,7900503.767320153,8650089.013792228,7273092.547839956,6445786.147089892,7900503.767320153,8650089.013792228,7273092.547839956,1227957.393538087,39670.70273070849,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
31,2022-01-06 10:30:00,-2986215.7412979407,-6537482.82624516,-7325914.77606907,-5222839.186298884,4001059.157526881,1826762.5186593109,-591000.541352567,-1759683.2361074064,272105.0613176268,1379630.607104786,1896061.1898402544,3773573.788635891,6413295.307216256,7990591.849253379,8768015.932015272,7333716.101095092,6413295.307216256,7990591.849253379,8768015.932015272,7333716.101095092,1227925.3250131535,40651.21389751142,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
32,2022-01-06 10:35:00,-3208690.3148372974,-6667408.577991872,-7417783.185402732,-5379023.096703201,3818908.8752196487,1679634.742720183,-658207.3169768996,-1633039.6250895956,346758.51285574463,1301547.3693925582,1758047.2340421416,3695648.7672231216,6376582.153951127,8076030.385006005,8876796.532228168,7392213.976817916,6376582.153951127,8076030.385006005,8876796.532228168,7392213.976817916,1227892.4735604087,41631.69914501348,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
33,2022-01-06 10:40:00,-3419838.622400508,-6786525.2115288405,-7500398.19635552,-5526225.9783828845,3623278.333549463,1531118.789138272,-724025.9533999825,-1504425.9077693308,420187.95124184975,1222121.8085085114,1619374.472946674,3612358.3753450094,6336935.829052075,8157053.543547176,8976800.393343534,7448517.191806651,6336935.829052075,8157053.543547176,8976800.393343534,7448517.191806651,1227858.8392007984,42612.1578480552,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
34,2022-01-06 10:45:00,-3618915.337496944,-6895184.28515693,-7574133.314805213,-5664527.176798255,3414858.083280221,1381502.823010785,-788462.5490954245,-1374084.6683780707,492134.17996021913,1141537.3537524417,1480204.603268011,3523989.645134409,6295716.824689081,8233872.36505992,9068368.604234088,7502551.339943315,6295716.824689081,8233872.36505992,9068368.604234088,7502551.339943315,1227824.421955768,43592.58938149399,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
35,2022-01-06 10:50:00,-3805217.744811758,-6993717.080804889,-7639328.726256681,-5794003.849729757,3194383.8212095983,1231040.557607701,-851527.4796032114,-1242239.0591708955,562343.2380353492,1059956.5990481053,1340671.8521384008,3430808.133396474,6254340.984230124,8306676.659895928,9151813.968177082,7554237.164043399,6254340.984230124,8306676.659895928,9151813.968177082,7554237.164043399,1227789.2218472622,44572.99312020464,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
36,2022-01-06 10:55:00,-3978088.2207009713,-7082433.717908474,-7696292.088568932,-5914729.026582261,2962633.7932535573,1079955.3142237486,-913234.1966299508,-1109094.926363668,630567.2964816829,977523.5933913246,1200886.6046328356,3333059.477628276,6214259.692637406,8375636.650437715,9227421.302755354,7603490.906578836,6214259.692637406,8375636.650437715,9227421.302755354,7603490.906578836,1227753.2388977243,45553.3684390796,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
37,2022-01-06 11:00:00,-4136916.554518735,-7161622.53441602,-7745299.333765433,-6026769.923635449,2720426.047337904,928443.702155356,-973598.16635078,-974842.8214030644,696565.5331081966,894365.9262533672,1060938.6589841717,3230970.9231689437,6176936.01668562,8440904.38468515,9295447.801099364,7650224.474170924,6176936.01668562,8440904.38468515,9295447.801099364,7650224.474170924,1227716.4731300978,46533.71471302949,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
38,2022-01-06 11:05:00,-4281142.102582781,-7231549.680381099,-7786595.459312345,-6130186.481348835,2468615.5457938546,776678.9648546418,-1032635.9235206108,-839659.908264236,760104.9825898999,810596.6316822103,920900.1634238536,3124752.820526005,6143816.817445121,8502614.94686301,9356123.427778332,7694345.445807089,6143816.817445121,8502614.94686301,9356123.427778332,7694345.445807089,1227678.924567824,47514.03131698343,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
39,2022-01-06 11:10:00,-4410255.767174836,-7292458.880035065,-7820395.294088468,-6225030.094776955,2208091.147450474,624814.0334611407,-1090364.2213751755,-703711.7774574377,820961.3588056054,726315.9325789533,780828.2817661663,3014600.093709849,6116301.218932363,8560887.487085816,9409651.328512143,7735756.950315885,6116301.218932363,8560887.487085816,9409651.328512143,7735756.950315885,1227640.5932348438,48494.31762588945,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
40,2022-01-06 11:15:00,-4523801.793590384,-7344571.326700279,-7846884.228117393,-6311342.512479072,1939772.4700768136,472984.3246315662,-1146799.260068962,-567154.1772881009,878919.846539218,641612.8445908737,640767.629203469,2900693.6818381096,6095706.261486131,8615826.089145694,9456208.237548048,7774357.434732905,6095706.261486131,8615826.089145694,9456208.237548048,7774357.434732905,1227601.4791555975,49474.57301471491,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
41,2022-01-06 11:20:00,-4621379.378894417,-7388085.681821136,-7866218.898222625,-6389154.883115917,1664606.6442489384,321310.3158348674,-1201955.9786705414,-430134.67269931646,933775.859749944,556566.6572520586,500752.5151029264,2783201.957428565,6083231.054653373,8667520.49281314,9495944.87030636,7810040.341784343,6083231.054653373,8667520.49281314,9495944.87030636,7810040.341784343,1227561.582355025,50454.79685844688,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
42,2022-01-06 11:25:00,-4702644.086704478,-7423178.155077862,-7878527.824283223,-6458486.932300119,1383564.9701002566,169899.9280061992,-1255847.3976054776,-292794.2417639992,985335.7637348196,471248.3084059233,360809.0257371416,2662282.1257486674,6079921.203686739,8716046.684645895,9528986.291963171,7842693.711775815,6079921.203686739,8716046.684645895,9528986.291963171,7842693.711775815,1227520.9028585637,51434.98853209255,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
43,2022-01-06 11:30:00,-4767309.063006993,-7450002.647263548,-7883911.992853765,-6519346.255282134,1097639.488756419,18850.74261130602,-1308483.9999741802,-155268.81960899036,1033417.5586344204,385721.66654654086,220956.97671721,2538081.610383987,6086635.627993117,8761467.369168181,9555432.25517267,7872199.721666694,6086635.627993117,8761467.369168181,9555432.25517267,7872199.721666694,1227479.4406921514,52415.1474106796,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
44,2022-01-06 11:35:00,-4815146.04871521,-7468690.94155112,-7882445.386682595,-6571727.713776769,807839.4805571565,-131747.9222830569,-1359873.1414337398,-17690.799260898966,1077851.5218690615,300044.73450178705,81211.76232752526,2410739.430867807,6104018.028256304,8803832.330386197,9575357.502270874,7898434.171999503,6104018.028256304,8803832.330386197,9575357.502270874,7898434.171999503,1227437.195882224,53395.27286925662,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
45,2022-01-06 11:40:00,-4845986.18539454,-7479352.932117498,-7874175.460208996,-6615612.927725968,515187.9024259164,-281813.05444855755,-1410018.4793648375,119809.50138602123,1118480.807237774,214270.7868349431,-58413.87309290678,2280387.578812512,6132475.122759784,8843178.691920532,9588812.0291534,7921265.930605212,6132475.122759784,8843178.691920532,9588812.0291534,7921265.930605212,1227394.1684557176,54375.36428289356,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
46,2022-01-06 11:45:00,-4859720.611311226,-7482076.881959261,-7859123.56252065,-6650969.855104957,220717.776962891,-431266.0877652552,-1458919.4128844033,257102.39756014835,1155161.99856531,128449.45244764582,-197908.1181813104,2147152.399526226,6172163.341055674,8879531.082537375,9595821.309671655,7940556.340586827,6172163.341055674,8879531.082537375,9595821.309671655,7940556.340586827,1227350.358440066,55355.42102668202,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
47,2022-01-06 11:50:00,-4856300.845700315,-7476929.704236307,-7837285.310574425,-6677752.455060052,-74531.45399248553,-580031.1211745071,-1506570.5259421868,394057.4119098483,1187765.6159428814,42627.75311200144,-337258.4096553223,2011155.9866060691,6222984.975630729,8912901.712523842,9596386.48092131,7956158.598967555,6222984.975630729,8912901.712523842,9596386.48092131,7956158.598967555,1227305.7658632027,56335.44247573573,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
48,2022-01-06 11:55:00,-4835738.959896551,-7463957.263707951,-7808630.916785382,-6695900.431762474,-369517.5984581488,-728033.1984556218,-1552961.0262796446,530541.856713994,1216176.5727756557,-43148.89196923826,-476449.7579923641,1872517.5974886203,6284593.95090679,8943290.365157617,9590484.491271185,7967917.111552519,6284593.95090679,8943290.365157617,9590484.491271185,7967917.111552519,1227260.3907535605,57315.42800519091,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
49,2022-01-06 12:00:00,-4798107.534724115,-7443184.696855969,-7773105.476426851,-6705339.058416902,-663199.3931136567,-875196.632038151,-1598074.173453446,666419.4158601449,1240294.5820237044,-128835.68598942482,-615463.0626946635,1731355.0984215687,6356410.512894125,8970684.306447465,9578068.214462688,7975666.82897663,6356410.512894125,8970684.306447465,9578068.214462688,7975666.82897663,1227214.2331400698,58295.3769902067,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
50,2022-01-06 12:05:00,-4743539.4042956,-7414616.75118823,-7730629.22171275,-6705979.082917061,-954540.1788263924,-1021443.3549387746,-1641886.6894509243,801548.7186895363,1260034.5102024102,-214387.48957556055,-754273.3963483659,1587786.4478076226,6437643.413322528,8995058.115352284,9559066.534660878,7979232.568582634,6437643.413322528,8995058.115352284,9559066.534660878,7979232.568582634,1227167.293052161,59275.28880596554,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
